Year,Units,Value
2009,mio. eur,3.00
2010,mio. eur,20.00
2011,mio. eur,12.00
2012,mio. eur,24.90
2013,mio. eur,36.30
2014,mio. eur,31.00
2015,mio. eur,15.70
2016,mio. eur,59.75
2017,mio. eur,67.95
2018,mio. eur,63.00
2019,mio. eur,63.50
